Criteria,Quet.Nr,Question,Elaboration on Question,Possible Answers,Type of visit,Skips & Triggers,Changes made,نوع الزيارة,الإجابات الممكنة,السؤال,رقم السؤال,معيار
Customer service employee knowledge,Q61,"Was the customer service employee able to answer your inquiries and help you avail your service? ","If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,show if Q51 is yes,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كــان موظف خدمة المتعاملين قادر على الإجابة على استفساراتك وشرح متطلبات تقديم الخدمة؟,Q61,معرفة موظف خدمة المتعاملين
Speed of Service,Q65,How long did you have to wait to talk to the receptionist?,Please mention the exact time from the moment you reached the reception area until you were approached by the receptionist,"1. Up to 3 minutes (3)
2.3-5 minutes (1)
3. More than 5 minutes (0)",Enquiry/ Transaction,Show if Q34 is yes,,استفسار / تقديم معاملة,"1. حتى 3 دقائق (3)
2. 5-3 دقائق (1)
3. أكثر من 5 دقائق (0)
4. لا ينطبق  ",كم من الوقت كان عليك الانتظار للتحدث مع موظف الاستقبال؟,Q65,سرعة الخدمة
Speed of Service,Q66,In average how long was your waiting time to meet the customer service employee?,Please mention the exact time from the moment the receptionist directed you to the CSE until you met the employee,"1. Up to 3 minutes (3)
2. Within 5 minutes (2)
3. 5-10 minutes (1)
4. More than 10 minutes (0)",Enquiry/ Transaction,show if Q51 is yes,,استفسار / تقديم معاملة,"1. حتى 3 دقائق (3)
2.خلال 5 دقائق (2)
3. 10-5 دقائق (1)
4. أكثر من 10 دقائق (0)",بشكل عام ​​، ما هي مدة الانتظار لمقابلة موظف خدمة المتعاملين؟,Q66,سرعة الخدمة
Speed of Service,Q66.1,"In average how long did it take to finish your transaction process (application submission, payment if required, and transaction approval receipt)? ",Please mention the exact time,"1. Up to 10 minutes (2)
2.  10 -30 minutes (1)
3. More 30 minutes (0)",Transaction,,,تقديم معاملة,"1. حتى 10 دقائق (2)
2. 10-20 دقيقة (1)
3. أكثر من 20 دقيقة (0)",كم  استغرقت معاملتك  وقتا لإتمامها بشكل كامل؟ (تقديم الطلب والدفع وتأكيد إتمام الخدمة بنجاح),Q66.1,سرعة الخدمة
Speed of Service,Q66.2,Was the entity able to deliver the service (outcome of your requests) on the promised timeframe?,Please mention the exact time,"1.Yes (2)
2.No (0)
3.Not Applicable (non-scoring)",Transaction,,,تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل تمكنت من الحصول على الخدمة (المخرج النهائي) ضمن الإطار الزمني الذي تم إخبارك به؟,Q66.2,سرعة الخدمة
Ease of use,Q67.0,Did you get the service/enquiry completed from the first visit to the centre (without requiring another visit)?,If more than 2 please consider the employee you interacted with the most,"1.Yes (1)
2.No (0)
3.Not Applicable (non-scoring)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (0)
2.لا (1) ",هل حصلت على الخدمة المطلوبة أو المعلومات التي احتجتها من الزيارة الأولى دون الحاجة لزيارة أخرى؟,Q67.0,سهولة إتمام الخدمة
Ease of use,Q67,"Apart from the receptionist, did you have to interact with more than one employee to get your inquiry or transaction completed?","If no, detail what happened in the comment box","1.Yes (0)
2. No (1)","Transaction/ Enquiry ",,applicable for enquiry as well,استفسار / تقديم معاملة,"1. نعم (0)
2.لا (1) ",عدى عن موظف الاستقبال، هل اضطررت للتعامل مع أكثر من موظف لإنجاز استفسارك أو معاملتك ؟,Q67,سهولة إتمام الخدمة
Ease of use,Q68,"Was there additional services available for your use whether paid or unpaid? If required ","- Services available and in working condition
- Please provide details and evidence","1.Yes (1)
2.No (0)
3.Not Required (non-scoring)","Enquiry
",,question rephrased and options amended,"استفسار
","1. نعم (1)
2.لا (0) 
3.غير مطلوب",هل كان هناك خدمات مساندة متوفرة للاستخدام سواء كانت مجانية أو غير مجانية / يدفع لها؟ في حال الحاجة لذلك,Q68,سهولة إتمام الخدمة
Ease of use,Q68.1,Were your service requirements reviewed at the first contact point to make sure that you had all the requirements to avail the service?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Transaction,,,تقديم معاملة,"1. نعم (1)
2.لا (0) ","هل تمت مراجعة وثائقك في البداية عند دخولك مركز الخدمة للتأكد من توفر جميع المتطلبات اللازمة للاستفادة من الخدمة.؟
",Q68.1,سهولة إتمام الخدمة
Ease of use,Q68.2,"If you were asked to apply through the website, mobile application, or self-service screens, did the service representative help or guide you if you requested assistance?","If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3. Not Applicable (non-scoring)",Transaction,,,تقديم معاملة,"1. نعم (1)
2.لا (0) 
3.لاينطبق ",إذا تم الطلب منك التقدم عن طريق الموقع الالكتروني أو التطبيق الالكتروني أو جهاز الخدمة الذاتية، هل قام ممثل الخدمة بمساعدتك أو إرشادك في حال قمت بطلب المساعدة؟,Q68.2,سهولة إتمام الخدمة
Ease of use,Q69,"Were you able to pay in different payment methods i.e. cash, credit card, cheque etc.?","If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3.Not Applicable (non-scoring)",Transaction,,,تقديم معاملة,"1. نعم (1)
2.لا (0) 
3.لاينطبق ",هل كنت قـادر على أن تدفـع بطرق مختلفة أي  نقداً، بطاقة ائتمان، شيك، الخ؟,Q69,سهولة إتمام الخدمة
Ease of use,Q70,Were you able to make the payment without being asked to go to another desk/ counter?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3.Not Applicable (non-scoring)",Transaction,,,تقديم معاملة,"1. نعم (1)
2.لا (0) 
3.لاينطبق ",هل كنت قادرًا على إجراء الدفع دون مطالبتك بالذهاب إلى مكتب / مكتب آخر؟,Q70,سهولة إتمام الخدمة
Ease of use,Q70.0,"Was the service and payment fully completed and without errors occurring in the system, whether in submitting the order or paying?","If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3.Not Applicable (non-scoring)",Transaction,,,تقديم معاملة,"1. نعم (1)
2.لا (0) 
3.لاينطبق ",هل تم التقدم للخدمة والدفع بشكل تام وبدون حصول أخطاء في النظام سواء في التقدم للطلب أو في الدفع؟,,سهولة إتمام الخدمة
Ease of use,Q71,Was there WIFI service available and working properly in the center?,"-Provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ","هل توجد خدمة ""واي فاي"" متوفرة وتعمل بشكل صحيح في المركز؟ ",Q71,سهولة إتمام الخدمة
Ease of use,Q72,"Were there any posters, or signboards indicating the availability of a complaint system and indicating that the department will solve your complaint in 5 days or less? (Either Campaigns, Posters, Signboards, Brochures, Digital boards or any others )","Provide evidence
","1. Available with the response time (5 days or less) (1)
2. Available with the response time (more than 5 days) (0)
3. Available with no response time (0)
4. Not Available (0)",Enquiry/ Transaction,,to be deleted,استفسار,"1. متوفر مع ذكر وقت الرد (5 أيام أو أقل) (1)
2. متوفر مع ذكر وقت الرد (5 أيام أو أكثر) (0)
3. متوفر بدون ذكر وقت الرد (0)
4.غير متوفر أبدا (0) ",هل كان هناك اعلان عن وجود نظام لتلقي شكاوى المتعاملين مع تحديد  أن الشكوى سوف يتم حلها خلال 5 أيام أو أقل من تاريخ تقديمها ؟ سواء حملات اعلانية أو ملصقات أو لوحات إعلانية أو كتيبات أو لوحات ذكية أو غيره تعبر عن وجود نظام لتلقي شكاوى المتعاملين,Q72,سهولة إتمام الخدمة
Ease of use,Q72,"Was the 04 platform for submitting complaints, suggestions, and feedback available during your visit?","-Provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كانت منصة 04 (الشكاوى، الاقترحات، الملاحظات) متاحة؟,Q72,سهولة إتمام الخدمة
Ease of use,Q72.1,"Was the process for submitting a complaint through the 04 platform clearly communicated via posters, digital screens, or any other display methods at the service location?","-Provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,hide if Q72 is no,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان من الواضح كيفية تقديم شكوى على منصة 04 من خلال الملصقات، الشاشات الرقمية أو أي وسيلة عرض أخرى في موقع الخدمة؟,Q72.1,سهولة إتمام الخدمة
Ease of use,Q72.2,"Was it easy to access the 04 platform and submit feedback or complaints using the QR code, website, or mobile app?","-Provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,hide if Q72 is no,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان من السهل الوصول إلى منصة 04 وتقديم الملاحظات أو الشكاوى باستخدام رمز الاستجابة السريعة، الموقع الإلكتروني، أو التطبيق؟,Q72.2,سهولة إتمام الخدمة
Ease of use,Q72.3,"If a complaint was made during the visit and the customer chose not to use the 04 platform, did the receptionist or service employee either record it in the 04 system on their behalf or resolve it on the spot?","-Provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3. I did not submit a complaint (non-scoring)",Enquiry/ Transaction,,new question,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) 
3. لم يتم تقديم شكوى",إذا تم تقديم شكوى خلال الزيارة، وفي حال عدم رغبة المتعامل استخدام 04، هل قام موظف الاستقبال/أو موظف الخدمة بتسجيلها مباشرة في نظام 04 نيابةً عن المتعامل، أو حلها في نفس الوقت؟,Q72.3,سهولة إتمام الخدمة
Ease of use,Q73,Was it easy to file a complaint in the service center?,"-Provide evidence
- If no, detail what happened in the comment box","1.Yes (1)
2.No (0)
3.Not Applicable (non-scoring)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) 
3.لاينطبق ",هل كان من السهل تقديم طلب شكوى داخل المركز؟,Q73,سهولة إتمام الخدمة
Service Information Quality,Q74,Did the customer service employee provide you with proper information on how to avail the required service?,,,Enquiry/ Transaction,,,استفسار / تقديم معاملة,,هل قام موظف خدمة المتعاملين بتزويدك بالمعلومات المناسبة حول كيفية الحصول على الخدمة المطلوبة؟,Q74,جودة معلومات الخدمة
Service Information Quality,Q75,Were the documents required relevant?,,"1.Yes (2)
2.No (0)
3. Not Applicable (non-scoring)",Enquiry/ Transaction,,to be deleted,استفسار / تقديم معاملة,"1. نعم (2)
2.لا (0) ",هل كانت الوثائق المطلـوبة ملائمة؟,Q75,جودة معلومات الخدمة
Service Information Quality,Q75.0,Was the information provided by the employees regarding the requested service consistent with the information available on the website?,"If yes/ no, detail what happened
Take screenshots from website","1.Yes (1)
2.No (0)
3.The information was not available on the website (0)",Enquiry/ Transaction,,options amended,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) 
3. لم يتم العثور على الخدمة في الموقع (0)",هل كانت المعلومات المقدمة من قبل موظف الجهة عن الخدمة المطلوبة متوافقة مع المعلومات المتوفرة على الموقع؟,Q75.0,جودة معلومات الخدمة
Service Information Quality,Q77,"At the end of waiting in the queue, did you find yourself in the wrong queue due to wrong information from staff members or signboards?","If yes, detail what happened in the comment box","1.Yes (0)
2.No (2)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (2)
2.لا (0) ",وأخيـرا بعد الانتظار في الطابور، هل وجدت نفسك في الطابور الخطأ نتيجة لمعلومات خاطئة من الموظفين أو اللوحات الإرشادية؟,Q77,جودة معلومات الخدمة
Service Information Quality,Q78,Were you informed about the different options of payments for your transaction?(whether through the service employee or any other communication channels),,"1.Yes (2)
2.No (0)
3. Not Applicable (non-scoring)",Transaction,,,تقديم معاملة,"1. نعم (2)
2.لا (0)       ",هل تم اعلامك بالخيارات المختلفة لدفع الرسوم الخاصة بمعاملتك؟ (سواء من خلال موظف الخدمة أو أي من قنوات التواصل الأخرى),Q78,جودة معلومات الخدمة
Service Information Quality,Q79,"Were you informed about the different channels where you could collect the outcome of your requests ( card/license, certificate..)? (whether through the service employee or any other communication channels)","If no, detail what happened in the comment box","1.Yes (2)
2.No (0)
3. Not Applicable (non-scoring)",Transaction,,,تقديم معاملة,"1. نعم (2)
2.لا (0) ",هل تم اعلامك عن القنوات المختلفة التي يمكنك من خلالها الحصول على المخرجات النهائية للخدمة (بطاقة / رخصة ، شهادة ..)؟ (سواء من خلال موظف الخدمة أو أي من قنوات التواصل الأخرى),Q79,جودة معلومات الخدمة
Service Information Quality,Q80,Did the employee provide you with the reference number related to your transaction?,"If no, detail what happened in the comment box","1.Yes (2)
2.No (0)
3. Not Applicable (non-scoring)",Transaction,,,,,,Q80,جودة معلومات الخدمة
Service Information Quality,Q80.1,"Upon the payment, did you receive a receipt (physical or digital) confirming the payment process, showing the full payment structure?","If no, detail what happened in the comment box","1.Yes (2)
2.No (0)
3. Not Applicable (non-scoring)",Transaction,,question rephrased,تقديم معاملة,"1. نعم (1)
2.لا (0) 
3. الخدمة مجانية",هل تم تزويدك بوصل ورقي أو الكتروني يثبت عملية الدفع؟,Q80.1,جودة معلومات الخدمة
Service Information Quality,Q80.2,"If the final outcome (card/license, certificate...) was not received directly after applying at the service center, were you informed about the timelines to collect the outcome of your request?","If no, detail what happened in the comment box","1.Yes (2)
2.No (0)
3. Not Applicable (non-scoring)",Transaction,,,تقديم معاملة,"1. نعم (1)
2.لا (0) 
3.لاينطبق ",في حال لم يتم الحصول على المخرجات النهائية للخدمة (بطاقة / رخصة ، شهادة ..) خلال وقت الزيارة، هل تم إخبارك بالوقت المتوقع للحصول عليها؟,Q80.2,جودة معلومات الخدمة
Customer privacy,Q81,Were the agents you interacted with capable of maintaining privacy while dealing with you?,"If no, detail what happened in the comment box","1.Yes (1)
2.No (0)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ",هل كان كل موظف تعاملت معه قادر على المحافظة على الخصوصية خلال التعامل معك؟,Q81,خصوصية المتعامل
Customer privacy,Q81.0,Were the documents or forms with customer information visible on the employee desk?,"If yes, detail what happened in the comment box","1.Yes (0)
2.No (1)",Enquiry/ Transaction,,,استفسار / تقديم معاملة,"1. نعم (1)
2.لا (0) ","هل كانت المستندات أو النماذج التي تظهر المعلومات الخاصة بالمتعامل واضحة ومرئية على مكتب الموظف؟  ",Q81.0,خصوصية المتعامل
Customer effort,Q87,"How much effort do you feel you personally had to make to resolve your enquiry on this particular assessment? ",,"Low effort 
It was easy for me to get my service completed (3)",Transaction,,,تقديم معاملة,"جهد منخفض
كان من السهل بالنسبة لي الحصول على إجابة على استفساري (3)",ما مقدار الجهد الذي تشعر أنك بذلته شخصيًا في هذا التقييم لحل استفسارك ؟,Q87,جهد العميل
